"stock_symbol","stock_market","stock_market_cap"
"SNFCA","NASDAQ","101.28"
"CO","NYSE","666.52"
"GSHT","NASDAQ","400.4"
"FLIC","NASDAQ","665.88"
"MBFIP","NASDAQ","104.92"
"CIB","NYSE","11020"
"CMA","NYSE","13110"
"WAL","NYSE","5200"
"WABC","NASDAQ","1490"
"NWFL","NASDAQ","171.78"
"ELVT","NYSE","349.39"
"MFNC","NASDAQ","85.86"
"MSBI","NASDAQ","655.78"
"HIIQ","NASDAQ","392.38"
"THFF","NASDAQ","587.96"
"STL","NYSE","3180"
"YRD","NYSE","1410"
"NYCB","NYSE","6500"
"HSBC","NYSE","176430"
"WFC","NYSE","269310"
"BMA","NYSE","5070"
"KMPR","NYSE","2050"
"KEY","NYSE","20320"
"CNO","NYSE","3530"
"FRBK","NASDAQ","555.38"
"FDEF","NASDAQ","547.07"
"BUSE","NASDAQ","1150"
"STBA","NASDAQ","1240"
"ARL","NYSE","137.3"
"FBMS","NASDAQ","257.87"
"PACW","NASDAQ","5870"
"TRU","NYSE","7930"
"WSFS","NASDAQ","1450"
"IPCC","NASDAQ","1050"
"HBANO","NASDAQ","21830"
"SFBS","NASDAQ","1960"
"AI","NYSE","352.64"
"EVBS","NASDAQ","142.79"
"JHG","NYSE","367.06"
"CFR","NYSE","6190"
"SFE","NYSE","228.02"
"STBZ","NASDAQ","1040"
"BBVA","NYSE","53980"
"KW","NYSE","2070"
"SIFI","NASDAQ","189.23"
"AEG","NYSE","10510"
"BLVD","NASDAQ","461.58"
"HNNA","NASDAQ","120.43"
"VAC","NYSE","3280"
"OXBR","NASDAQ","34.73"
"SC","NYSE","4150"
"BLMT","NASDAQ","292.59"
"ORIT","NASDAQ","791.4"
"TRMK","NASDAQ","2240"
"AFH","NASDAQ","188.28"
"PMBC","NASDAQ","198.16"
"BSMX","NYSE","13140"
"RLI","NYSE","2500"
"KINS","NASDAQ","166.26"
"SYF","NYSE","23790"
"BOKF","NASDAQ","5540"
"INBK","NASDAQ","177.71"
"STT","NYSE","33200"
"TCFC","NASDAQ","181.04"
"LCNB","NASDAQ","204.58"
"CZNC","NASDAQ","287.82"
"CNFR","NASDAQ","51.52"
"WAYN","NASDAQ","47.65"
"UGLD","NASDAQ","97.38"
"FRPH","NASDAQ","457.29"
"OPY","NYSE","219.09"
"FBIZ","NASDAQ","208.63"
"LPLA","NASDAQ","3740"
"WMIH","NASDAQ","247.66"
"MSBF","NASDAQ","99.4"
"ABIL","NASDAQ","31.94"
"WSBC","NASDAQ","1750"
"VLY","NYSE","3110"
"CB","NYSE","70810"
"BRO","NYSE","6220"
"MLP","NYSE","386.9"
"JSYN","NASDAQ","52.88"
"LION","NASDAQ","610.37"
"CPAA","NASDAQ","596.2"
"KB","NYSE","19260"
"GABC","NASDAQ","741.31"
"SMFG","NYSE","54220"
"CNOB","NASDAQ","744.13"
"SVBI","NASDAQ","86.11"
"FHB","NASDAQ","4270"
"VIRT","NASDAQ","2380"
"RY","NYSE","103480"
"TD","NYSE","91250"
"CIZN","NASDAQ","122.36"
"ALL","NYSE","32740"
"CSFL","NASDAQ","1390"
"IBKR","NASDAQ","14980"
"HTBI","NASDAQ","462.31"
"HTLF","NASDAQ","1250"
"HLNE","NASDAQ","956.82"
"SAFT","NASDAQ","1060"
"IX","NYSE","20830"
"FNF","NYSE","14750"
"DB","NYSE","34760"
"GWGH","NASDAQ","60.75"
"SCHW","NYSE","56050"
"TCF","NYSE","2720"
"FUNC","NASDAQ","106.49"
"FUSB","NASDAQ","70.79"
